name,description
"Khoa Công nghệ Thông tin","Nơi đào tạo các chuyên gia về phát triển phần mềm, mạng máy tính, an toàn thông tin và trí tuệ nhân tạo."
"Khoa Kinh tế","Nơi đào tạo các chuyên gia trong lĩnh vực kinh tế, tài chính, ngân hàng, kế toán và quản trị kinh doanh."
"Khoa Kỹ thuật Xây dựng","Nơi đào tạo các kỹ sư xây dựng có kiến thức và kỹ năng để thiết kế, thi công và quản lý các công trình xây dựng."
"Khoa Điện - Điện tử","Nơi đào tạo các kỹ sư điện, điện tử có khả năng thiết kế, vận hành và bảo trì các hệ thống điện và điện tử."
"Khoa Cơ khí","Nơi đào tạo các kỹ sư cơ khí có khả năng thiết kế, chế tạo và bảo trì các loại máy móc và thiết bị cơ khí."
"Khoa Ngoại ngữ","Nơi đào tạo các cử nhân ngôn ngữ học và các chuyên gia về biên phiên dịch, giảng dạy ngoại ngữ."
"Khoa Khoa học Ứng dụng","Nơi đào tạo các cử nhân và nhà khoa học trong các lĩnh vực khoa học cơ bản và ứng dụng như toán học, vật lý, hóa học, sinh học."
"Khoa Luật","Nơi đào tạo các cử nhân luật và các chuyên gia pháp lý."
"Khoa Kiến trúc","Nơi đào tạo các kiến trúc sư có khả năng thiết kế các công trình kiến trúc và quy hoạch đô thị."
"Khoa Thiết kế Mỹ thuật","Nơi đào tạo các nhà thiết kế đồ họa, thiết kế thời trang, thiết kế nội thất và các chuyên gia trong lĩnh vực mỹ thuật ứng dụng."
